male , group A , associate's degree , free/reduced , none , 47 , 57 , 44
male , group A , bachelor's degree , free/reduced , none , 62 , 72 , 65
male , group E , associate's degree , free/reduced , completed , 91 , 73 , 80
male , group C , high school , free/reduced , none , 61 , 60 , 55
male , group B , some college , free/reduced , none , 55 , 55 , 47
male , group C , master's degree , free/reduced , completed , 79 , 77 , 75
male , group C , associate's degree , free/reduced , none , 58 , 55 , 53
male , group E , bachelor's degree , free/reduced , completed , 70 , 68 , 72
male , group A , some college , free/reduced , none , 58 , 60 , 57
male , group C , associate's degree , free/reduced , none , 68 , 65 , 61
male , group D , high school , free/reduced , none , 66 , 74 , 69
male , group A , some college , free/reduced , none , 75 , 81 , 74
male , group A , high school , free/reduced , none , 45 , 47 , 49
male , group E , some college , free/reduced , completed , 49 , 52 , 51
male , group B , associate's degree , free/reduced , completed , 58 , 57 , 53
male , group B , some college , free/reduced , completed , 74 , 77 , 76
male , group B , some college , free/reduced , none , 75 , 68 , 65
male , group C , associate's degree , free/reduced , none , 87 , 73 , 72
male , group C , high school , free/reduced , none , 59 , 53 , 52
male , group E , associate's degree , free/reduced , completed , 78 , 74 , 72
male , group C , associate's degree , free/reduced , none , 49 , 51 , 51
male , group E , associate's degree , free/reduced , none , 90 , 90 , 82
male , group C , some college , free/reduced , none , 80 , 64 , 66
male , group D , bachelor's degree , free/reduced , none , 55 , 46 , 44
male , group C , high school , free/reduced , none , 54 , 72 , 59
male , group D , high school , free/reduced , none , 44 , 51 , 48
male , group B , high school , free/reduced , none , 36 , 29 , 27
male , group D , bachelor's degree , free/reduced , none , 50 , 42 , 48
male , group D , high school , free/reduced , none , 69 , 70 , 67
male , group D , high school , free/reduced , none , 74 , 70 , 69
male , group E , associate's degree , free/reduced , none , 64 , 56 , 52
male , group E , associate's degree , free/reduced , completed , 46 , 43 , 44
male , group C , some college , free/reduced , completed , 67 , 74 , 70
male , group D , some college , free/reduced , none , 62 , 57 , 62
male , group C , bachelor's degree , free/reduced , completed , 70 , 75 , 74
male , group D , some college , free/reduced , none , 70 , 63 , 58
male , group C , master's degree , free/reduced , completed , 72 , 66 , 72
male , group B , some college , free/reduced , completed , 60 , 62 , 60
male , group E , high school , free/reduced , completed , 86 , 81 , 75
male , group C , high school , free/reduced , none , 62 , 55 , 55
